,en,es,fr,zh,de,ja,it,nl,ru,pt,ko,el,ar,he,th,ln,ta,hi,tl,sv,no,tr,fi,fa,da,in,cs,hu,be,uk,am,sw,bg,hr,eo,pl,ro,lesson,lexid
6,closed,cerrado,fermé,關閉,geschlossen,閉じる (TojiRu),chiuso,gesloten,закрытый (zakrytyj),fechado,닫힌,κλειστός,مُغلق,סגור,ปิด,clusus,மூடிய,बन्द,sarado,stängd,stengt,kapalı,suljettu,بسته,lukket,tertutup,uzavřený,zárt,зачынены,закритий (zakrytyj),ዝግ (ze-ge),iliyo fungwa,затворен,zatvoren,fermita,Zamknięty,închis,1230,150
7,cold,frío,froid,冷,kalt,寒い (Samui),freddo,koud,холодный (kholodnyj),frio,차가운,κρύο,البرودة,קר,เย็น,frigidus,குளிர்ச்சியான,ठन्डा,malamig,kall,kald,soğuk,kylmä,سرد,kold,dingin,studený,hideg,халодны,холодний (kholodnyj),ቀዝቃዛ (qa-ze-qaa-zaa),baridi,студен,hladan,malvarma,Zimny,rece,1230,120
8,dry,seco,sec,乾躁,trocken,乾く (Kawaku),secco,droog,сухой (sukhoj),seco,건조한,ξερό,جاف,יבש,แห้ง,aridus,உலர்தல்,सूखा,tuyo,torr,tørr,kuru,kuiva,خشک,tør,kering,suchý,száraz,сухі,сухий (sukhyj),ደረቅ (da-ra-qe),kavu,сух,suh,seka,suchy,uscat,1230,280
9,fabric,tela,un tissu,紡織品,das Gewebe,織物 (Orimono),tessuto,een stof,ткань (tkan'),tecido,천,ύφασμα,النسيج,בד,ผ้า,textus,துணி,वस्त्र,tela,tyg,stoff,kumaş,kangas,پارچه,stof,kain,látka,ruhaanyag,тканіна,тканина (tkanyna),ጨርቅ (cha-re-qe),nguo,тъкан,tkanina,ŝtofo,tkanina,material textil,1230,240
10,hard,duro,dur,硬,hart,固い (Katai),duro,hard,твердый (tverdyj),duro,단단한,σκληρό,بشدّة,קשה,แข็ง,rigidus,கடினமான,सख्त,matigas,hård,hard,sert,kova,سخت,hård,keras,tvrdý,kemény,цвёрды,твердий (tverdyj),ጠንካራ (tha-ne-kaa-raa),gumu,твърд,tvrd,malmola,mocny,greu,1230,390
11,heavy,pesado,lourd,重,schwer,重い (Omoi),pesante,zwaar,тяжелый (tjazhelyj),pesado,무거운,βαρύ,ثقيل,כבד,หนัก,gravis,கனமான,भारी,mabigat,tungt,tung,ağır,painava,سنگین,tung,berat,těžký,nehéz,цяжкі,важкий (vazhkyj),ከባድ (ka-baa-de),nzito,тежък,težak,peza,ciężki,greu,1230,400
12,hot,caliente,chaud,熱,heiß,熱い (Atsui),caldo,heet,горячий (gorjachij),quente,뜨거운,ζεστό,حار,חם,ร้อน,calidus,சூடான,गरम,mainit,varm,varm,sıcak,kuuma,داغ,varm,panas,horký,forró,гарачы,гарячий (harjachyj),ሙቅ (mu-qe),joto,горещ,vruć,varma,Gorący,cald,1230,110
13,ice,hielo,un glaçon,冰,das Eis,氷 (Koori),ghiaccio,het ijs,лед (led),gelo,얼음,πάγος,الثلج,קרח,น้ำแข็ง,crustallum,பனிக்கட்டி,बर्फ़,yelo,is,is,buz,jää,یخ,is,es,led,jég,лёд,лід (lіd),በረዶ (ba-ra-do),barafu,лед,led,glaco,lód,gheaţă,1230,510
14,iron,hierro,un fer,鐵,das Eisen,鉄 (Tetsu),ferro,het ijzer,железо (zhelezo),ferro,철,σίδηρος,الحديد,ברזל,เหล็ก,ferrum,இரும்பு,लोहा,yero,järn,jern,demir,teräs,آهن,jern,besi,železo,vas,жалеза,залізо (zalіzo),ብረት (be-ra-te),chuma,желязо,željezo,fero,żelazo,fier,1230,300
15,leather,cuero,du cuir,皮革,das Leder,革 (Kawa),cuoio,leer,кожа (kozha),couro,가죽,δέρμα,الجلد,עור,หนัง,corium,தோல்,चमड़ा,katad,läder,lær,deri,nahka,چرم,læder,kulit,kůže,bőr,скура,шкіра (shkіra),ቆዳ (qo-daa),ngozi,кожа,koža,ledo,skóra,piele,1230,480
16,liquid,líquido,un liquide,液體,die Flüssigkeit,液体 (Ekitai),liquido,vloeibaar,жидкость (zhidkost'),líquido,액체,υγρό,السائل,נוזל,ของเหลว,liquor,திரவம்,"तरल,",likido,vätska,væske,sıvı,neste,مایع,væske,cairan,tekutina,folyadék,вадкасць,рідина (rіdyna),ፈሳሽ (fa-saa-she),maji maji,течност,tekućina,fluidaĵo,płyn,lichid,1230,250
17,material,material,un matériau,原料,das Material,材料 (Zairyou),materiale,materiaal,материал (material),material,물질,υλικό,المادّة,חומר,วัสดุ,materia,ஆக்கப்பொருள்,पदार्थ,materyal,material,materiell,malzeme,materiaali,ماده,materiale,bahan,materiál,anyag,матэрыял,матеріал (materіal),ዕቃ (ʿe-qaa),kifaa,материал,smočiti,materialo,materiał,material,1230,230
18,metal,metal,un métal,金屬,das Metall,金属 (Kinzoku),metallo,het metaal,металл (metall),metal,금속,μέταλλο,المعدن,ברזל,โลหะ,metallum,உலோகம்,धातु,metal,metall,metall,metal,metalli,فلز,metal,logam,kov,fém,метал,метал (metal),ብረት (be-ra-te),chuma,метал,metal,metalo,metal,metal,1230,260
19,narrow,estrecho,rétréci,狹窄,eng,狭く (Semaku),stretto,nauw,узкий (uzkij),estreito,좁은,στενό,ضيّق,צר,คอด,angustus,குறுகிய,संकरा,makitid,minska,smal,dar,kapea,باریک,smal,sempit,úzký,keskeny,вузкі,вузький (vuz'kyj),ጠባብ (tha-baa-be),embamba,тесен,uzak,mallarĝa,wąski,îngust,1230,360
20,oil,petróleo,l'huile,油,das Öl,油 (Abura),olio,de olie,нефть (neft'),petróleo,기름진,πετρέλαιο,النفط,שמן,น้ำมัน,oleum,எண்ணெய்,तेल,langis,olja,olje,petrol,öljy,نفت,olie,minyak,olej,olaj,нафта,нафта (nafta),ዘይት (za-ye-te),mafuta,нефт,ulje,oleo,olej,ulei,1230,370
21,open,abierto,ouvert,開放,offen,戸外 (Kogai),aperto,open,открытый (otkrytyj),aberto,열린,ανοικτός,مفتوح,פתוח,เปิด,apertus,திறந்த,खुला,bukas,öppen,åpen,açık,auki,باز,åben,terbuka,otevřený,nyitott,адчынены,відкритий (vіdkrytyj),ክፍት (ke-fe-te),fungua,отворен,otvoren,malfermita,Otwarty,deschis,1230,160
22,paper,papel,le papier,紙,das Papier,紙 (Kami),carta,het papier,бумага (bumaga),papel,종이,χαρτί,الورقة,נייר,กระดาษ,charta,காகிதம்,कागज,papel,papper,papir,kağıt,paperi,کاغذ,papir,kertas,papír,papír,папера,папір (papіr),ወረቀት (wa-ra-qa-te),karatasi,хартия,papir,papero,Papier,hârtie,1230,130
23,plank,una tabla,une planche,板,die Planke,板 (Ita),asse,een plank,доска (doska),uma tábua,널빤지,σανίδα,اللوح الخشبي,משטח,กระดาน,tabula,மரப்பலகை,तख्ता,isang tabla,planka,planke,tahta,lauta,تخته,planke,papan,prkno,palánk,дошка,дошка (doshka),ሣንቃ (szaa-ne-qaa),ubao,дъска,daska,tabulo,deska,o scândură,1230,320
24,pointed,puntiagudo,pointu,指向的,gespitzt,とがった (Togatta),appuntito,puntig,заостренный (zaostrennyj),pontiagudo,뾰족한,μυτερό,مدبّب,חד,แหลม,acutus,ஊச்சியான,नुकीला,matulis,spetsig,spiss,sivri,terävä,نوک دار,spids,runcing,špičatý,hegyes,завостраны,загострений (zahostrenyj),ሹል (shu-le),chomeo,заострен,zašiljen,pintigita,spiczasty,subţire şi ascuţit,1230,430
25,rough,rústico,rugueux,粗,grob,荒い (Arai),ruvido,ruw,грубый (grubyj),áspero,거친,τραχύ,في العراء,מחוספס,ขรุขระ,asper,கரடு முரடான,खुरदरा,maligasgas,grov,grov,kaba,karkea,خشن,ru,kasar,hrubý,durva,грубы,грубий (hrubyj),ሻካራ (shaa-kaa-raa),chepe,груб,grub,kruda,szorstki,aspru,1230,380
26,sharp,afilado,coupant,銳利,scharf,鋭い (Surudoi),affilato,scherp,острый (ostryj),afiado,날카로운,αιχμηρό,حادّ,חד,คม,acutus,கூர்மையான,पैना,matalas,vass,kvass,sivri,terävä,تیز,skarp,tajam,ostrý,éles,востры,гострий (hostryj),ሹል (shu-le),chongoka,остър,oštar,akra,ostry,ascuţit,1230,450
27,slippery,resbaladizo,glissant,滑,glatt,滑りやすい (SuberiYasui),scivoloso,glibberig,скользкий (skol'zkij),escorregadio,미끄러운,ολισθηρό,زلق,חלקלק,ลื่น,lubricus,வழுக்குகிற,फ़िसलन वाला,madulas,hal,glatt,kaygan,liukas,لغزنده,glat,licin,kluzký,csúszós,слізкі,слизький (slyz'kyj),የሚያዳልጥ (ya-mi-yaa-daa-le-the),teleza,хлъзгав,sklizak,glita,śliski,alunecos,1230,350
28,smooth,liso,lisse,平滑,glatt,滑らか (Nameraka),liscio,glad,гладкий (gladkij),liso,매끄러운,ομαλό,ناعم,חלק,เรียบ,levis,மென்மையான,चिकना,makinis,slät,glatt,düz,sileä,صاف,glat,halus,hladký,sima,гладкі,гладкий (hladkyj),ለስላሳ (la-se-laa-saa),laini,гладък,glatak,glata,gładki,neted,1230,410
29,soft,blando,doux,柔軟,weich,柔らかい (YawaraKai),morbido,zacht,мягкий (mjagkij),frágil,부드러운,μαλακό,ناعم,רך,นุ่ม,mollis,மிருதுவான,नरम,malambot,mjuk,myk,yumuşak,pehmeä,نرم,blød,lembut,měkký,puha,мяккі,м'який (m`jakyj),ለስላሳ (la-se-laa-saa),anana,мек,mekan,mola,miękki,uşor,1230,420
30,steam,vapor,une vapeur,水蒸汽,der Dampf,蒸気 (Jouki),vapore,stoom,пар (par),vapor,증기,ατμός,البخار,אדים,ไอน้ำ,vapor,நீராவி,भाप,singaw,ånga,damp,buhar,höyry,بخار,damp,uap,pára,gőz,пара,пара (para),እንፋሎት (ʾe-ne-faa-lo-te),mvuke,пара,para,vaporo,para,vapor,1230,520
31,surface,superficie,la surface,表面,die Oberfläche,表面 (Hyoumen),superficie,de oppervlakte,поверхность (poverkhnost'),superfície,표면,επιφάνεια,السطح,פנים,พื้นผิว,cutis,மேற்பரப்பு,सतह,ibabaw,yta,overflate,yüzey,pinta,سطح,overflade,permukaan,povrch,felület,паверхня,поверхня (poverkhnja),ፊት (fi-te),ubapa,повърхност,površina,surfaco,powierzchnia,suprafaţă,1230,500
32,to cool down,enfriar,refroidir,冷靜,sich abkühlen,治まる (OsamaRu),raffreddare,afkoelen,охладиться (okhladit'sja),resfriar-se,식히다,δροσίζω,للتبريد,לקרר,เย็นลง,algere,குளிர்தல்,ठन्डा होना,palamigin,att kyla ner,å kjøle ned,soğumak,rauhoittua,خنک کردن,at køle ned,mendinginkan,zchladit,lehűteni,астудзіцца,остудитися (ostudytysja),መቀዝቀዝ (ma-qa-ze-qa-ze),kupoa,охлаждам се,ohladiti,malvarmigi,Ochłodzić się,a se înfrâna,1230,190
33,to get cold,tener frío,se refroidir,感冒,erkalten,冷たくなる (TsumetaKunaru),raffreddarsi,het koud krijgen,замерзнуть (zamerznut'),ter frio,차가워지다,κρυώνω,للإسْتِبْراد,,หนาว,frigidus agere,குளிர் அடைதல்,ठन्डा होजाना,palamigin,att bli kall,å bli kald,donmak,palella,سرد شدن,at blive kold,kedinginan,stydnout,lehűlni,замерзнуць,змерзнути (zmerznuty),መቀዝቀዝ (ma-qa-ze-qa-ze),kushikwa na baridi,замръзвам,postati hladan,malvarmiĝi,zmarznąć,a I se face frig,1230,200
34,to get wet,mojarse,se mouiller,弄濕,nass werden,ぬれる (Nureru),bagnarsi,nat worden,намокнуть (namoknut'),molhar-se,젖다,βρέχομαι,للتَبَلُّل,להירטב,เปียก,umidus agere,நனைதல்,गीला होना,mabasa,att bli blöt,å bli våt,ıslanmak,kastua,خیس شدن,at blive våd,kebasahan,vlhnout,benedvesedni,намокнуць,намокнути (namoknuty),መርጠብ (ma-re-tha-be),lowa,намокрям се,namočiti,malsekiĝi,zamoczyć się,a se uda,1230,220
35,to melt,derretir,fondre,溶化,schmelzen,溶ける (TokeRu),fondere,smelten,таять (tajat'),derreter,녹다,λειώνω,للذَوَبان,להינמס,ละลาย,liquescere,உருகுதல்,पिघलना,tunawin,att smälta,å smelte,erimek,sulaa,ذوب شدن,at smelte,mencair,Tavit / tát,olvadni,раставаць,танути (tanuty),መቅለጥ (ma-qe-la-the),kuyayuka,топя,topiti,fandiĝi,topić się,a se topi,1230,330
36,to rot,podrir,pourrir,腐壞,rotten,腐る (Kusaru),marcire,verrotten,гнить (gnit'),apodrecer,썪다,σαπίζω,للتَعَفُّن,להרקיב,ผุ,conrumpere,வாடுதல்,सड़ना,mabulok,att ruttna,å råtne,çürümek,mädäntyä,فاسد شدن,at rådne,membusuk,tlít,rothadni,гніць,гнити (hnyty),መበስበስ (ma-ba-se-ba-se),kuoza,гния,trunuti,putri,gnić,a putrezi,1230,340
37,to rust,oxidarse,rouiller,鐵鏽,rosten,錆びる (SabiRu),arrugginire,roesten,ржаветь (rzhavet'),enferrujar,녹슬다,σκουριάζω,للتَصَدُّأ,להתחלד,ขึ้นสนิม,aeruginare,துரு பிடித்தல்,जंग लगना,mangalawang,att rosta,å ruste,paslanmak,ruostua,زنگ زدن,at ruste,berkarat,rezivět,rozsdásodni,іржавець,іржавіти (іrzhavіty),መዛግ (ma-zaa-ge),kutu,ръждясвам,hrđati,rusti,rdzewieć,a rugini,1230,310
38,to wet,mojar,mouiller,濕,nass machen,ぬれる (Nureru),bagnare,nat maken,намочить (namochit'),molhar,적시다,βρέχω,للتَبْليل,להרטיב,เปียก,tingere,நனைத்தல்,गीला करना,basain,att blöta ner,å gjøre våt,ıslatmak,kastella,خیس کردن,at gøre våd,membasahi,vlhčit,benedvesít,намачыць,намочити (namochyty),ማርጠብ (maa-re-tha-be),Lowesha,мокря,smočiti,malsekigi,zamoczyć,a uda,1230,210
39,vacuum,vacío,le vide,真空,das Vakuum,真空 (Shinkuu),vuoto,vacuüm,вакуум (vakuum),vazio,진공의,κενό,الفراغ,ואקום,อวกาศ,vacuum,வெற்றிடம்,खाली,bakyum,tomrum,vakuum,vakum,tyhjä,خلاء,et vakuum,kosong,vákuum,vákum,вакуум,вакуум (vakuum),አየር የሌለበት ባዶ ስፍራ (ʾa-ya-re ya-lee-la-ba-te baa-do se-fe-raa),kifyonza,вакуум,vakuum,vakuo,Próżnia,vid,1230,170
40,wood,madera,du bois,木材,das Holz,木 (Ki),legno,hout,древесина (drevesina),madeira,목재,ξύλο,الخشب,עץ,ไม้,lignum,மரம்,लकड़ी,kahoy,trä,tre,kereste,puu,چوب,brænde,kayu,dřevo,fa,драўніна,деревина (derevyna),እንጨት (ʾe-ne-cha-te),njiti,дървесина,drvo,ligno,drzewo,lemn,1230,460
41,wool,lana,de la laine,羊毛,der Wolle,羊毛 (Youmou),lana,wol,шерсть (sherst'),lã,양모,μαλλί,الصوف,צמר,ขนแกะ,lana,கம்பளி ஆடை,ऊन,lana,ull,ull,yün,villa,پشم,uld,wol,vlna,gyapjú,поўсць,вовна (vovna),ሱፍ (su-fe),nyoya,вълна,vuna,lano,wełna,lână,1230,490
0,a color,un color,une couleur,色,die Farbe,色 (Shoku),un colore,een kleur,цвет (tsvet),uma cor,색깔,ένα χρώμα,اللون,צבע,สี,color,நிறம்,रंग,isang kulay,en färg,en farge,renk,väri,رنگ,en farve,suatu warna,barva,szín,колер,колір (kolіr),ቀለም (qa-la-me),rangi,цвят,boja,koloro,Kolor,o culoare,1240,110
1,a tint,un matiz,une teinte,色彩,die Farbe,色 (Shoku),una tinta,een tint,оттенок (ottenok),uma tinta,엷은 색,μια απόχρωση,الصبغة,גוון,สี,pigmentum,நிறச் சாயல்,हल्का रंग,isang uri ng kulay,en nyans,en nyanse,gölge,sävyttää,سایه ای از یک رنگ,en farvenuance,warna,barva,árnyalat,адценне,відтінок (vіdtіnok),በስሱ የተቀባ (ba-se-su ya-ta-qa-baa),,нюанс,nijansa,subtono,Odcień,o nuanţă,1240,280
2,beige,beige,beige,灰褐色,beige,ベージュ (Be^ju),beige,beige,бежевый (bezhevyj),bege,베이지,μπεζ,البيجي,בז',น้ำตาลอ่อน,,பழுப்பு மஞ்சள்,मटमैला,murang kayumanggi,beige,beige,bej rengi,beige,بژ,beige,krem,béžová,bézs,бэжавы,бежевий (bezhevyj),ቡናማ (bu-naa-maa),,бежов,bež,flavgriza,Beżowy,bej,1240,120
3,black,negro,noir,黑色,schwarz,黒 (Kuro),nero,zwart,черный (chernyj),preto,검은,μαύρο,الأسود,שחור,ดำ,niger,கருப்பு,काला,itim,svart,svart,siyah,musta,سیاه,sort,hitam,černá,fekete,чорны,чорний (chornyj),ጥቁር (the-qu-re),nyeusi,черен,crna,nigra,Czarny,negru,1240,170
4,blue,azul,bleu,染藍色,blau,青 (Ao),blu,blauw,голубой (goluboj),azul,파란,μπλε,الأزرق,כחול,น้ำเงิน,caeruleus,நீலம்,नीला,asul,blå,blå,mavi,sininen,آبی,blå,biru,modrá,kék,блакітны,блакитний (blakytnyj),ሰማያዊ (sa-maa-yaa-wi),samawati,син,plava,blua,Niebieski,albastru,1240,130
5,bright,brillante,vif,光亮的,leuchtend,明るい (AkaruI),chiaro,helder,яркий (jarkij),brilhante,밝은,φωτεινό,لامع,בהיר,สว่าง,clarus,பிரகாசமான,चमकीला,matingkad,ljust,lys,parlak,kirkas,درخشان,klar,cerah,jasný,élénk,яркі,яскравий (jaskravyj),ብሩህ (be-ru-he),angaza,ярък,svijetao,luma,"Jaskrawy, żywy",luminos,1240,340
6,bronze,bronce,mordoré,青銅色,bronze,銅 (Dou),bronzo,brons,бронзовый (bronzovyj),bronze,동색,χάλκινο,البرونز,ארד,บรอนซ์,aeneus,வெண்கலம்,तांबा,tanso,brons,bronse,bronz rengi,pronssi,برنزی,bronzefarvet,perunggu,bronzová,bronz,бронзавы,бронзовий (bronzovyj),መዳብ (ma-daa-be),,бронзов,brončana,bronza,Brązowy,bronz,1240,310
7,brown,marrón,marron,褐色,braun,茶色 (Chairo),marrone,bruin,коричневый (korichnevyj),castanho,갈색,καφέ,الأسمر,חום,น้ำตาล,brunus,பழுப்பு,भूरा,kayumanggi,brun,brun,kahverengi,ruskea,قهوه ای,brun,cokelat,hnědá,barna,карычневы,коричневий (korychnevyj),ቡና አይነት (bu-naa ʾa-ye-na-te),hudhurungi,кафяв,smeđa,bruna,Brązowy,maro,1240,160
8,dark,oscuro,sombre,陰暗,dunkel,暗い (Kurai),scuro,donker,темный (temnyj),escuro,어두운,σκούρο,الظلام,חשוך,เข้ม,furvus,இருள்,गहरा,madilim,mörkt,mørk,koyu,tumma,تیره,mørk,gelap,tmavý,sötét,цёмны,темний (temnyj),ጨለማ (cha-la-maa),eusi,тъмен,taman,malhela,Ciemny,întuneric,1240,330
9,golden,dorado,doré,金色,golden,金色 (Kin'iro),oro,goud,золотой (zolotoj),dourado,금색,χρυσαφί,ذهبي,מוזהב,ทอง,aureus,பொன்னிறம்,सुनहरा,ginintuan,guld,gyllen,altın rengi,kultainen,طلایی,guldfarvet,keemasan,zlatá,arany,залаты,золотий (zolotyj),ወርቃማ (wa-re-qaa-maa),Rangi ya dhahabu,златист,zlatn,orbrila,Złoty,auriu,1240,230
10,green,verde,vert,綠色,grün,緑色 (Ryokushoku),verde,groen,зеленый (zelenyj),verde,초록,πράσινο,الأخضر,ירוק,เขียว,venetus,பச்சை,हरा,berde,grön,grønn,yesil,vihreä,سبز,grøn,hijau,zelená,zöld,зялёны,зелений (zelenyj),አረንጛዴ (ʾa-ra-ne-ggaa-dee),kijani kiwiti,зелен,zelen,verda,Zielony,verde,1240,210
11,grey,gris,gris,灰色的,grau,灰色 (Haiiro),grigio,grijs,серый (seryj),cinza,회색,γκρί,رمادي,אפור,เทา,griseus,சாம்பல் நிறம்,स्लेटी,abo,grå,grå,gri,harmaa,خاکستری,grå,abu-abu,šedá,szürke,шэры,сірий (sіryj),ግራጫ (ge-raa-chaa),kijivu,сив,siv,griza,Szary,gri,1240,140
12,light,claro,léger,光線,hell,軽い (Karui),chiaro,licht,светлый (svetlyj),claro,밝은,φως,الضوء,אור,อ่อน,candidus,ஒளி,हल्का,maliwanag,ljus,lys,açık,vaalea,روشن,lys,terang,světlý,fényes,светлы,світлий (svіtlyj),ነጣ ያለ (na-thaa yaa-la),eupe,светъл,svijetao,hela,Jasny,lumină,1240,320
13,many-colored,de varios colores,de plusieurs couleurs,許多的彩色,vielfarbig,多色 (Tashoku),multicolore,veelkleurig,разноцветный (raznotsvetnyj),de várias cores,색상이 다채로운,πολύχρωμο,بِلَون الكثير,צבעוני,หลายสี,coloreus,பல-வண்ண,बहुरंगी,maraming kulay,mångfärgad,flerfarget,rengarenk,monivärinen,چندرنگ,flerfarvet,beraneka warna,vícebarevný,sokszínű,рознакаляровы,різнобарвний (rіznobarvnyj),ባለብዙ ቀለም (baa-la-be-zu qa-la-me),rangi nyingi,многоцветен,mnogobojan,plurkolora,Różnokolorowy,poli-color,1240,350
14,one-colored,unicolor,de seule couleur,一種彩色,einfarbig,1色 (1Shoku),monocolore,eenkleurig,одноцветный (odnotsvetnyj),unicolor,단일 색의,μονόχρωμο,بِلَون واحد,,สีเดียว,,ஒரு-வண்ண,एकरंगी,isang kulay,enfärgad,ensfarget,tek renk,yksivärinen,تک رنگ,ensfarvet,eka warna,jednobarevný,egyszínű,аднакаляровы,одноколірний (odnokolіrnyj),ባለአንድ ቀለም (baa-la-ʾa-ne-de qa-la-me),rangi moja,едноцветен,jednobojan,unukolora,Jednokolorowy,mono-color,1240,360
15,orange,anaranjado,orange,橙色,orange,オレンジ (Orenji),arancione,oranje,оранжевый (oranzhevyj),laranja,오렌지색,πορτοκαλί,البرتقال,כתום,ส้ม,aurantiacus,ஆரஞ்சு,नारंगी,kahel,orange,oransje,turuncu,oranssi,نارنجی,orange,jingga,oranžová,narancssárga,аранжавы,помаранчевий (pomaranchevyj),ብርቱካን አይነት (be-re-tu-kaa-ne ʾa-ye-na-te),rangi ya machungwa,оранжев,narančasta,oranĝa,Pomarańczowy,portocaliu,1240,180
16,pink,rosado,rose,桃色,rosa,ピンク (Pinku),rosa,rose,розовый (rozovyj),rosa,분홍,ροζ,الوردي,ורוד,ชมพู,,இளஞ்சிவப்பு,गुलाबी,rosas,rosa,rosa,pembe,vaaleanpunainen,صورتی,lyserød,merah muda,růžová,rózsaszín,ружовы,рожевий (rozhevyj),ሮዝ (ro-ze),waridi,розов,ružičasta,roza,Różowy,roz,1240,190
17,purple,violeta,violet,紫色,violett,紫色 (Murasakiiro),viola,paars,фиолетовый (fioletovyj),lilás,보라,πορφυρό,الأرجوان,סגול,ม่วง,purpureus,கத்தரி நிறம்,बैंगनी,lila,lila,lilla,mor,purppura,ارغوانی,lilla,ungu,fialová,lila,фіялетавы,фіолетовий (fіoletovyj),ሐምራዊ (hha-me-raa-wi),zambarau,виолетов,ljubičasta,violkolora,Fioletowy,mov,1240,220
18,red,rojo,rouge,紅色,rot,赤 (Aka),rosso,rood,красный (krasnyj),vermelho,빨간,κόκκινος,أحمر,אדום,แดง,ruber,சிவப்பு,लाल,pula,röd,rød,kırmızı,punainen,قرمز,rød,merah,červená,piros,чырвоны,червоний (chervonyj),ቀይ (qa-ye),nyekundu,червен,crven,ruĝa,Czerwony,roşu,1240,200
19,scarlet,escarlata,écarlate,深紅色,scharlachrot,緋 (Hi),scarlatto,scharlakenrood,алый (alyj),escarlate,진홍색,ερυθρό,القرمزي,אדום,แดงสด,puniceus,செஞ்சிவப்பு,लाल सूर्ख,eskarlata,scharlakansröd,skarlagensrød,kızıl,helakanpunainen,سرخ,skarlagenrød,merah tua,šarlatová,skarlátvörös,пунсовы,червоний (chervonyj),ድፍን ቀይ (de-fe-ne qa-ye),,ален,grimizn,helruĝa,Szkarłatny,roşu-aprins,1240,290
20,silver,plateado,argenté,銀色,silbern,銀 (Gin),argento,zilver,серебряный (serebrjanyj),prateado,은색,ασημί,الفضة,כסף,เงิน,argenteus,வெள்ளி,चांदी,pilak,silver,sølv,gümüş rengi,hopeinen,نقره ای,sølvfarvet,perak,stříbrná,ezüst,срэбны,срібний (srіbnyj),ብር (be-re),rangi ya kifedha,сребърен,srebrna,arĝentkolora,Srebrny,argintiu,1240,300
21,to color,colorear,colorier,加色,färben,色をつける (ShokuWotsukeru),colorare,kleuren,окрашивать (okrashivat'),colorir,색칠하다,χρωματίζω,للتَلوين,לצבוע,ระบายสี,colorare,வண்ணமடித்தல்,रंगना,magkulay,att färga,å farge,renklendirmek,värittää,رنگ کردن,at farvelægge,mewarnai,barvit,színezni,фарбаваць,зафарбовувати (zafarbovuvaty),መቀባት (ma-qa-baa-te),weka rangi,оцветявам,bojiti,kolorigi,Kolorować,a colora,1240,260
22,to paint,pintar,peindre,繪畫,streichen,色を塗る (ShokuWoNuru),dipingere,schilderen,красить (krasit'),pintar,칠하다,βάφω,للصِباغَة,לצבוע,ทาสี,fucare,ஓவியம் தீட்டுதல்,रंगलेप करना,magpinta,att måla,å male,boyamak,maalata,نقاشی کردن,at male,melukis,malovat,festeni,маляваць,фарбувати (farbuvaty),መቀባት (ma-qa-baa-te),paka rangi,рисувам,slikati,farbi,Malować,a picta,1240,270
23,turquoise,turquesa,turquoise,藍[綠]玉色,türkis,ターコイズ (Ta^koizu),turchese,turquoise,бирюзовый (birjuzovyj),turquesa,청록,τυρκουάζ,الفيروز,טורקיז,เทอร์ควอยส์,callainus,நீல பச்சை,फ़ीरोज़ा,turkesa,turkos,turkis,turkuaz,turkoosi,فیروزه,turkis,pirus,tyrkysová,türkiz,бірузовы,бірюзовий (bіrjuzovyj),,feruzi,тюркоазен,tirkiz,turkisa,Turkusowy,turcoaz,1240,250
24,white,blanco,blanc,白色,weiß,白 (Shiro),bianco,wit,белый (belyj),branco,흰,άσπρο,الأبيض,לבן,ขาว,albus,வெள்ளை,सफ़ेद,puti,vit,hvit,beyaz,valkoinen,سفید,hvid,putih,bílá,fehér,белы,білий (bіlyj),ነጭ (na-che),nyeupe,бял,bijel,blanka,Biały,alb,1240,240
25,yellow,amarillo,jaune,黃色,gelb,黄色 (Kiiro),giallo,geel,желтый (zheltyj),amarelo,노란,κίτρινο,الأصفر,צהוב,เหลือง,flavus,மஞ்சள்,पीला,dilaw,gul,gul,sarı,keltainen,زرد,gul,kuning,žlutá,sárga,жоўты,жовтий (zhovtyj),ቢጫ (bi-chaa),manjano,жълт,žut,flava,Żółty,galben,1240,150
0,a degree,un grado,un degré,度,ein Grad,１度 (１Do),un grado,een graad,градус (gradus),um grau,정도,ένας βαθμός,الدرجة,מעלה,ดีกรี,quantitas,டிகிரி,दर्जा,isang antas,en grad,en grad,derece,aste,درجه,en grad,suatu derajat,stupeň,egy fok,градус,градус (hradus),ዲግሪ (di-ge-ri),uzi,градус,stupanj,grado,stopień,un grad,1250,420
1,a dozen,una docena,une douzaine,一打,das Dutzend,ダース (Da^su),una dozzina,een dozijn,дюжина (djuzhina),uma dúzia,한 다스,μια δωδεκάδα,دزينة,תריסר,โหล,,டஜன்,दर्जन,isang dosena,ett dussin,et dusin,düzine,tusina,یک دوجین,et dusin,satu lusin,tucet,egy tucat,тузін,дюжина (djuzhyna),ደርዘን (da-re-za-ne),dazeni,дузина,tucet,dekduo,tuzin,o duzină,1250,120
2,a half,una mitad,la moitié,一半,die Hälfte,半分 (Hanbun),metà,een helft,половина (polovina),uma metade,절반,ένα μισό,النِصْف,חצי,ครึ่ง,dimidium,பாதி,आधा,kalahati,en halv,en halv,yarım,puoli,نیم,en halv,setengah,polovina,egy fél,палова,половина (polovyna),ግማሽ (ge-maa-she),nusu,половина,polovica,duono,połowa,o jumătate,1250,220
